CAN Message; 0x1a7:000000589461ae97
Timestamp;Amplitude
1739209625.6142085;-28.992665084841942
1739209625.614213;-38.13080360867914
1739209625.6142178;-38.13080360867914
1739209625.6142225;-35.57807855764607
1739209625.6142273;-38.13080360867914
1739209625.6142318;-45.120503652039325
1739209625.6142366;-35.57807855764607
1739209625.6142414;-38.13080360867914
1739209625.6142461;-38.13080360867914
1739209625.6142507;-32.816014438256545
1739209625.6142554;-32.816014438256545
1739209625.6142602;-38.13080360867914
1739209625.614265;-45.120503652039325
1739209625.6142695;-38.13080360867914
1739209625.6142743;-45.120503652039325
1739209625.614279;-45.120503652039325
1739209625.6142838;-45.120503652039325
1739209625.6142883;-45.120503652039325
1739209625.614293;-38.13080360867914
1739209625.6142979;-38.13080360867914
1739209625.6143026;-45.120503652039325
1739209625.6143072;-38.13080360867914
1739209625.614312;-45.120503652039325
1739209625.6143167;-45.120503652039325
1739209625.6143212;-38.13080360867914
1739209625.614326;-45.120503652039325
1739209625.6143308;-45.120503652039325
1739209625.6143355;-38.13080360867914
1739209625.61434;-38.13080360867914
1739209625.6143448;-38.13080360867914
1739209625.6143496;-38.13080360867914
1739209625.6143544;-45.120503652039325
1739209625.614359;-45.120503652039325
1739209625.6143637;-38.13080360867914
1739209625.6143684;-45.120503652039325
1739209625.6143732;-45.120503652039325
1739209625.6143777;-45.120503652039325
1739209625.6143825;-35.57807855764607
1739209625.6143873;-38.13080360867914
1739209625.614392;-45.120503652039325
1739209625.6143966;-30.49652367304973
1739209625.6144013;-38.13080360867914
1739209625.614406;-45.120503652039325
1739209625.6144106;-45.120503652039325
1739209625.6144154;-33.981070128970906
1739209625.6144202;-45.120503652039325
1739209625.614425;-35.57807855764607
1739209625.6144295;-38.13080360867914
1739209625.6144342;-45.120503652039325
1739209625.614439;-45.120503652039325
1739209625.6144438;-38.13080360867914
1739209625.6144483;-45.120503652039325
1739209625.614453;-45.120503652039325
1739209625.6144578;-38.13080360867914
1739209625.6144626;-38.13080360867914
1739209625.6144671;-38.13080360867914
1739209625.614472;-35.57807855764607
1739209625.6144767;-38.13080360867914
1739209625.6144814;-38.13080360867914
1739209625.614486;-38.13080360867914
1739209625.6144907;-35.57807855764607
1739209625.6144955;-35.57807855764607
1739209625.6145003;-38.13080360867914
1739209625.6145048;-38.13080360867914
1739209625.6145096;-45.120503652039325
1739209625.6145144;-38.13080360867914
1739209625.614519;-45.120503652039325
1739209625.6145236;-45.120503652039325
1739209625.6145284;-38.13080360867914
1739209625.6145332;-38.13080360867914
1739209625.6145377;-45.120503652039325
1739209625.6145425;-38.13080360867914
1739209625.6145473;-32.816014438256545
1739209625.614552;-35.57807855764607
1739209625.6145566;-38.13080360867914
1739209625.6145613;-32.816014438256545
1739209625.614566;-33.981070128970906
1739209625.6145709;-45.120503652039325
1739209625.6145754;-45.120503652039325
1739209625.6145802;-38.13080360867914
1739209625.614585;-35.57807855764607
1739209625.6145897;-35.57807855764607
1739209625.6145942;-38.13080360867914
1739209625.614599;-38.13080360867914
1739209625.6146038;-35.57807855764607
1739209625.6146083;-38.13080360867914
1739209625.614613;-35.57807855764607
1739209625.6146178;-38.13080360867914
1739209625.6146226;-45.120503652039325
1739209625.6146271;-38.13080360867914
1739209625.614632;-45.120503652039325
1739209625.6146367;-38.13080360867914
1739209625.6146414;-45.120503652039325
1739209625.614646;-38.13080360867914
1739209625.6146507;-38.13080360867914
1739209625.6146555;-45.120503652039325
1739209625.6146603;-45.120503652039325
1739209625.6146648;-38.13080360867914
1739209625.6146696;-38.13080360867914
1739209625.6146743;-45.120503652039325
1739209625.614679;-32.816014438256545
1739209625.6146836;-32.816014438256545
1739209625.6146884;-45.120503652039325
1739209625.6146932;-45.120503652039325
1739209625.614698;-38.13080360867914
1739209625.6147025;-33.981070128970906
1739209625.6147072;-45.120503652039325
1739209625.614712;-45.120503652039325
1739209625.6147165;-38.13080360867914
1739209625.6147213;-45.120503652039325
1739209625.614726;-38.13080360867914
1739209625.6147308;-45.120503652039325
1739209625.6147354;-32.816014438256545
1739209625.6147401;-38.13080360867914
1739209625.614745;-45.120503652039325
1739209625.6147497;-45.120503652039325
1739209625.6147542;-45.120503652039325
1739209625.614759;-38.13080360867914
1739209625.6147637;-45.120503652039325
1739209625.6147685;-45.120503652039325
1739209625.614773;-45.120503652039325
1739209625.6147778;-45.120503652039325
