CAN Message; 0x98:00007383efec5a5f
Timestamp;Amplitude
1739209752.402462;-45.120503652039325
1739209752.402464;-38.13080360867914
1739209752.4024656;-38.13080360867914
1739209752.4024675;-38.13080360867914
1739209752.4024692;-45.120503652039325
1739209752.4024708;-38.13080360867914
1739209752.4024727;-33.981070128970906
1739209752.4024744;-31.14110356531892
1739209752.4024763;-45.120503652039325
1739209752.402478;-38.13080360867914
1739209752.4024796;-38.13080360867914
1739209752.4024816;-45.120503652039325
1739209752.4024832;-45.120503652039325
1739209752.4024851;-33.981070128970906
1739209752.4024868;-32.816014438256545
1739209752.4024885;-31.141103565318915
1739209752.4024904;-38.13080360867914
1739209752.402492;-38.13080360867914
1739209752.4024937;-38.13080360867914
1739209752.4024956;-38.13080360867914
1739209752.4024973;-38.13080360867914
1739209752.4024992;-38.13080360867914
1739209752.4025009;-45.120503652039325
1739209752.4025025;-38.13080360867914
1739209752.4025044;-38.13080360867914
1739209752.402506;-45.120503652039325
1739209752.402508;-45.120503652039325
1739209752.4025097;-38.13080360867914
1739209752.4025114;-35.57807855764607
1739209752.4025133;-45.120503652039325
1739209752.402515;-35.57807855764607
1739209752.4025168;-45.120503652039325
1739209752.4025185;-38.13080360867914
1739209752.4025202;-38.13080360867914
1739209752.402522;-38.13080360867914
1739209752.4025238;-38.13080360867914
1739209752.4025257;-35.57807855764607
1739209752.4025273;-38.13080360867914
1739209752.402529;-38.13080360867914
1739209752.402531;-28.58837851428586
1739209752.4025326;-31.141103565318893
1739209752.4025345;-45.120503652039325
1739209752.4025362;-45.120503652039325
1739209752.4025378;-38.13080360867914
1739209752.4025397;-38.13080360867914
1739209752.4025414;-45.120503652039325
1739209752.4025433;-45.120503652039325
1739209752.402545;-45.120503652039325
1739209752.4025466;-45.120503652039325
1739209752.4025486;-45.120503652039325
1739209752.4025502;-45.120503652039325
1739209752.4025521;-35.57807855764607
1739209752.4025538;-38.13080360867914
1739209752.4025555;-45.120503652039325
1739209752.4025574;-35.57807855764607
1739209752.402559;-45.120503652039325
1739209752.4025607;-45.120503652039325
1739209752.4025626;-45.120503652039325
1739209752.4025643;-45.120503652039325
1739209752.4025662;-38.13080360867914
1739209752.4025679;-38.13080360867914
1739209752.4025695;-33.981070128970906
1739209752.4025714;-45.120503652039325
1739209752.402573;-38.13080360867914
1739209752.402575;-45.120503652039325
1739209752.4025767;-45.120503652039325
1739209752.4025784;-38.13080360867914
1739209752.4025803;-38.13080360867914
1739209752.402582;-45.120503652039325
1739209752.4025838;-45.120503652039325
1739209752.4025855;-32.816014438256545
1739209752.4025872;-45.120503652039325
1739209752.402589;-38.13080360867914
1739209752.4025908;-38.13080360867914
1739209752.4025927;-45.120503652039325
1739209752.4025943;-38.13080360867914
1739209752.402596;-38.13080360867914
1739209752.402598;-45.120503652039325
1739209752.4025996;-45.120503652039325
1739209752.4026015;-45.120503652039325
1739209752.4026031;-45.120503652039325
1739209752.4026048;-35.57807855764607
1739209752.4026067;-38.13080360867914
1739209752.4026084;-45.120503652039325
1739209752.4026103;-45.120503652039325
1739209752.402612;-38.13080360867914
1739209752.4026136;-45.120503652039325
1739209752.4026155;-38.13080360867914
1739209752.4026172;-45.120503652039325
1739209752.4026191;-45.120503652039325
1739209752.4026208;-45.120503652039325
1739209752.4026225;-38.13080360867914
1739209752.4026244;-38.13080360867914
1739209752.402626;-45.120503652039325
1739209752.4026277;-45.120503652039325
1739209752.4026296;-45.120503652039325
1739209752.4026313;-33.981070128970906
1739209752.4026332;-35.57807855764607
1739209752.4026349;-45.120503652039325
1739209752.4026365;-45.120503652039325
1739209752.4026384;-38.13080360867914
1739209752.40264;-38.13080360867914
1739209752.402642;-45.120503652039325
1739209752.4026437;-38.13080360867914
1739209752.4026453;-45.120503652039325
1739209752.4026473;-45.120503652039325
1739209752.402649;-45.120503652039325
1739209752.4026508;-45.120503652039325
1739209752.4026525;-45.120503652039325
1739209752.4026542;-45.120503652039325
1739209752.402656;-45.120503652039325
1739209752.4026577;-45.120503652039325
1739209752.4026597;-45.120503652039325
1739209752.4026613;-45.120503652039325
1739209752.402663;-45.120503652039325
1739209752.402665;-38.13080360867914
1739209752.4026666;-32.816014438256545
1739209752.4026685;-45.120503652039325
1739209752.4026701;-45.120503652039325
1739209752.4026718;-45.120503652039325
1739209752.4026737;-31.141103565318915
1739209752.4026754;-32.816014438256545
1739209752.4026773;-35.57807855764607
1739209752.402679;-45.120503652039325
1739209752.4026806;-45.120503652039325
1739209752.4026825;-35.57807855764607
1739209752.4026842;-35.57807855764607
1739209752.402686;-38.13080360867914
1739209752.4026878;-35.57807855764607
1739209752.4026895;-38.13080360867914
1739209752.4026914;-38.13080360867914
1739209752.402693;-38.13080360867914
1739209752.4026947;-38.13080360867914
1739209752.4026966;-38.13080360867914
1739209752.4026983;-38.13080360867914
1739209752.4027002;-45.120503652039325
1739209752.4027019;-31.141103565318915
1739209752.4027035;-33.981070128970906
1739209752.4027054;-35.57807855764607
1739209752.402707;-45.120503652039325
1739209752.402709;-45.120503652039325
1739209752.4027107;-35.57807855764607
1739209752.4027123;-38.13080360867914
1739209752.4027143;-38.13080360867914
1739209752.402716;-45.120503652039325
1739209752.4027178;-38.13080360867914
1739209752.4027195;-45.120503652039325
1739209752.4027212;-38.13080360867914
1739209752.402723;-38.13080360867914
1739209752.4027247;-38.13080360867914
1739209752.4027267;-35.57807855764607
1739209752.4027283;-38.13080360867914
1739209752.40273;-45.120503652039325
1739209752.402732;-38.13080360867914
1739209752.4027336;-38.13080360867914
1739209752.4027355;-45.120503652039325
1739209752.4027371;-45.120503652039325
1739209752.4027388;-33.981070128970906
1739209752.4027407;-38.13080360867914
1739209752.4027424;-45.120503652039325
1739209752.4027443;-33.981070128970906
1739209752.402746;-33.981070128970906
1739209752.4027476;-45.120503652039325
1739209752.4027495;-45.120503652039325
1739209752.4027512;-45.120503652039325
1739209752.4027529;-35.57807855764607
1739209752.4027548;-35.57807855764607
1739209752.4027565;-38.13080360867914
1739209752.4027584;-38.13080360867914
1739209752.40276;-31.141103565318915
1739209752.4027617;-45.120503652039325
1739209752.4027636;-33.981070128970906
1739209752.4027653;-38.13080360867914
1739209752.4027672;-45.120503652039325
1739209752.4027689;-45.120503652039325
1739209752.4027705;-33.981070128970906
1739209752.4027724;-38.13080360867914
1739209752.402774;-29.438486411369347
1739209752.402776;-38.13080360867914
1739209752.4027777;-33.981070128970906
1739209752.4027793;-38.13080360867914
1739209752.4027812;-33.981070128970906
1739209752.402783;-32.816014438256545
1739209752.4027848;-45.120503652039325
1739209752.4027865;-38.13080360867914
1739209752.4027882;-31.141103565318915
1739209752.40279;-38.13080360867914
1739209752.4027917;-38.13080360867914
1739209752.4027936;-35.57807855764607
1739209752.4027953;-45.120503652039325
1739209752.402797;-38.13080360867914
1739209752.402799;-38.13080360867914
1739209752.4028006;-45.120503652039325
1739209752.4028025;-38.13080360867914
1739209752.4028041;-38.13080360867914
1739209752.4028058;-45.120503652039325
1739209752.4028077;-38.13080360867914
1739209752.4028094;-38.13080360867914
1739209752.4028113;-45.120503652039325
1739209752.402813;-38.13080360867914
1739209752.4028146;-45.120503652039325
1739209752.4028165;-38.13080360867914
1739209752.4028182;-38.13080360867914
1739209752.4028199;-38.13080360867914
1739209752.4028218;-45.120503652039325
1739209752.4028234;-38.13080360867914
1739209752.4028254;-32.816014438256545
1739209752.402827;-45.120503652039325
1739209752.4028287;-38.13080360867914
1739209752.4028306;-38.13080360867914
1739209752.4028323;-45.120503652039325
1739209752.4028342;-45.120503652039325
1739209752.4028358;-45.120503652039325
1739209752.4028375;-38.13080360867914
1739209752.4028394;-38.13080360867914
1739209752.402841;-38.13080360867914
1739209752.402843;-45.120503652039325
1739209752.4028447;-45.120503652039325
1739209752.4028463;-38.13080360867914
1739209752.4028482;-45.120503652039325
1739209752.40285;-38.13080360867914
1739209752.4028518;-35.57807855764607
1739209752.4028535;-38.13080360867914
1739209752.4028552;-38.13080360867914
