CAN Message; 0x1d3:0000fbea3e62e4fd
Timestamp;Amplitude
1739209882.2472427;-38.13080360867914
1739209882.2472441;-45.120503652039325
1739209882.2472453;-45.120503652039325
1739209882.2472465;-38.13080360867914
1739209882.247248;-38.13080360867914
1739209882.2472491;-45.120503652039325
1739209882.2472503;-33.981070128970906
1739209882.2472515;-27.8777449560314
1739209882.247253;-45.120503652039325
1739209882.2472541;-45.120503652039325
1739209882.2472553;-45.120503652039325
1739209882.2472568;-45.120503652039325
1739209882.247258;-45.120503652039325
1739209882.2472591;-45.120503652039325
1739209882.2472606;-45.120503652039325
1739209882.2472618;-45.120503652039325
1739209882.247263;-45.120503652039325
1739209882.2472644;-45.120503652039325
1739209882.2472656;-45.120503652039325
1739209882.2472668;-32.816014438256545
1739209882.2472682;-35.57807855764607
1739209882.2472694;-45.120503652039325
1739209882.2472706;-38.13080360867914
1739209882.2472718;-35.57807855764607
1739209882.2472732;-38.13080360867914
1739209882.2472744;-38.13080360867914
1739209882.2472756;-38.13080360867914
1739209882.247277;-35.57807855764607
1739209882.2472782;-38.13080360867914
1739209882.2472794;-45.120503652039325
1739209882.2472808;-45.120503652039325
1739209882.247282;-35.57807855764607
1739209882.2472832;-38.13080360867914
1739209882.2472847;-38.13080360867914
1739209882.2472858;-35.57807855764607
1739209882.247287;-32.816014438256545
1739209882.2472882;-38.13080360867914
1739209882.2472897;-45.120503652039325
1739209882.2472908;-45.120503652039325
1739209882.247292;-45.120503652039325
1739209882.2472935;-38.13080360867914
1739209882.2472947;-38.13080360867914
1739209882.2472959;-38.13080360867914
1739209882.2472973;-38.13080360867914
1739209882.2472985;-38.13080360867914
1739209882.2472997;-45.120503652039325
1739209882.247301;-45.120503652039325
1739209882.2473023;-35.57807855764607
1739209882.2473035;-35.57807855764607
1739209882.2473047;-45.120503652039325
1739209882.247306;-38.13080360867914
1739209882.2473073;-32.816014438256545
1739209882.2473085;-38.13080360867914
1739209882.24731;-38.13080360867914
1739209882.247311;-32.816014438256545
1739209882.2473123;-38.13080360867914
1739209882.2473137;-38.13080360867914
1739209882.247315;-35.57807855764607
1739209882.2473161;-35.57807855764607
1739209882.2473176;-45.120503652039325
1739209882.2473187;-38.13080360867914
1739209882.24732;-45.120503652039325
1739209882.2473214;-38.13080360867914
1739209882.2473226;-32.816014438256545
1739209882.2473238;-38.13080360867914
1739209882.247325;-38.13080360867914
1739209882.2473264;-38.13080360867914
1739209882.2473276;-38.13080360867914
1739209882.2473288;-45.120503652039325
1739209882.2473302;-45.120503652039325
1739209882.2473314;-38.13080360867914
1739209882.2473326;-35.57807855764607
1739209882.247334;-45.120503652039325
1739209882.2473352;-45.120503652039325
1739209882.2473364;-45.120503652039325
1739209882.2473378;-38.13080360867914
1739209882.247339;-35.57807855764607
1739209882.2473402;-45.120503652039325
1739209882.2473414;-38.13080360867914
1739209882.2473428;-45.120503652039325
1739209882.247344;-38.13080360867914
1739209882.2473452;-45.120503652039325
1739209882.2473466;-38.13080360867914
1739209882.2473478;-45.120503652039325
1739209882.247349;-38.13080360867914
1739209882.2473505;-38.13080360867914
1739209882.2473516;-45.120503652039325
1739209882.2473528;-38.13080360867914
1739209882.2473543;-38.13080360867914
1739209882.2473555;-45.120503652039325
1739209882.2473567;-38.13080360867914
1739209882.2473578;-38.13080360867914
1739209882.2473593;-38.13080360867914
1739209882.2473605;-45.120503652039325
1739209882.2473617;-38.13080360867914
1739209882.247363;-45.120503652039325
1739209882.2473643;-31.141103565318915
1739209882.2473655;-38.13080360867914
1739209882.247367;-45.120503652039325
1739209882.247368;-38.13080360867914
1739209882.2473693;-35.57807855764607
1739209882.2473707;-38.13080360867914
1739209882.247372;-38.13080360867914
