CAN Message; 0x1a7:0000e4c274b67cad
Timestamp;Amplitude
1739209878.649606;-45.120503652039325
1739209878.6496124;-38.13080360867914
1739209878.6496186;-45.120503652039325
1739209878.6496248;-45.120503652039325
1739209878.6496313;-38.13080360867914
1739209878.6496375;-45.120503652039325
1739209878.6496437;-45.120503652039325
1739209878.64965;-45.120503652039325
1739209878.6496563;-45.120503652039325
1739209878.6496625;-45.120503652039325
1739209878.6496687;-30.49652367304973
1739209878.6496751;-32.816014438256545
1739209878.6496813;-45.120503652039325
1739209878.6496875;-45.120503652039325
1739209878.649694;-35.57807855764607
1739209878.6497002;-38.13080360867914
1739209878.6497064;-45.120503652039325
1739209878.6497128;-38.13080360867914
1739209878.649719;-45.120503652039325
1739209878.6497252;-45.120503652039325
1739209878.6497316;-45.120503652039325
1739209878.6497378;-38.13080360867914
1739209878.649744;-45.120503652039325
1739209878.6497505;-45.120503652039325
1739209878.6497567;-45.120503652039325
1739209878.6497629;-45.120503652039325
1739209878.649769;-38.13080360867914
1739209878.6497755;-33.981070128970906
1739209878.6497817;-32.816014438256545
1739209878.649788;-38.13080360867914
1739209878.6497943;-38.13080360867914
1739209878.6498005;-38.13080360867914
1739209878.6498067;-38.13080360867914
1739209878.6498132;-38.13080360867914
1739209878.6498194;-35.57807855764607
1739209878.6498256;-35.57807855764607
1739209878.649832;-45.120503652039325
1739209878.6498382;-38.13080360867914
1739209878.6498444;-38.13080360867914
1739209878.6498508;-35.57807855764607
1739209878.649857;-45.120503652039325
1739209878.6498632;-38.13080360867914
1739209878.6498697;-38.13080360867914
1739209878.6498759;-45.120503652039325
1739209878.649882;-38.13080360867914
1739209878.6498883;-38.13080360867914
1739209878.6498947;-45.120503652039325
1739209878.649901;-38.13080360867914
1739209878.649907;-38.13080360867914
1739209878.6499135;-45.120503652039325
1739209878.6499197;-45.120503652039325
1739209878.649926;-38.13080360867914
1739209878.6499324;-45.120503652039325
1739209878.6499386;-38.13080360867914
1739209878.6499448;-35.57807855764607
1739209878.6499512;-35.57807855764607
1739209878.6499574;-38.13080360867914
1739209878.6499636;-33.981070128970906
1739209878.64997;-45.120503652039325
1739209878.6499763;-45.120503652039325
1739209878.6499825;-38.13080360867914
1739209878.6499887;-38.13080360867914
1739209878.649995;-45.120503652039325
1739209878.6500013;-38.13080360867914
1739209878.6500075;-38.13080360867914
1739209878.650014;-38.13080360867914
1739209878.6500201;-45.120503652039325
1739209878.6500263;-38.13080360867914
1739209878.6500328;-38.13080360867914
1739209878.650039;-45.120503652039325
1739209878.6500452;-38.13080360867914
1739209878.6500516;-38.13080360867914
1739209878.6500578;-45.120503652039325
1739209878.650064;-45.120503652039325
1739209878.6500704;-35.57807855764607
1739209878.6500766;-35.57807855764607
1739209878.6500828;-38.13080360867914
1739209878.6500893;-45.120503652039325
1739209878.6500955;-45.120503652039325
1739209878.6501017;-38.13080360867914
1739209878.6501079;-35.57807855764607
1739209878.6501143;-38.13080360867914
1739209878.6501205;-38.13080360867914
1739209878.6501267;-45.120503652039325
1739209878.6501331;-45.120503652039325
1739209878.6501393;-38.13080360867914
1739209878.6501455;-45.120503652039325
1739209878.650152;-45.120503652039325
1739209878.6501582;-45.120503652039325
1739209878.6501644;-45.120503652039325
1739209878.6501708;-45.120503652039325
1739209878.650177;-38.13080360867914
1739209878.6501832;-33.981070128970906
1739209878.6501896;-38.13080360867914
1739209878.6501958;-38.13080360867914
1739209878.650202;-38.13080360867914
1739209878.6502085;-45.120503652039325
1739209878.6502147;-45.120503652039325
1739209878.6502209;-35.57807855764607
1739209878.650227;-38.13080360867914
1739209878.6502335;-45.120503652039325
1739209878.6502397;-38.13080360867914
1739209878.650246;-38.13080360867914
1739209878.6502523;-35.57807855764607
1739209878.6502585;-45.120503652039325
1739209878.6502647;-45.120503652039325
1739209878.6502712;-45.120503652039325
1739209878.6502774;-38.13080360867914
1739209878.6502836;-33.981070128970906
1739209878.65029;-45.120503652039325
1739209878.6502962;-45.120503652039325
1739209878.6503024;-33.981070128970906
1739209878.6503088;-31.141103565318915
1739209878.650315;-45.120503652039325
1739209878.6503212;-45.120503652039325
1739209878.6503274;-38.13080360867914
1739209878.650334;-30.49652367304973
1739209878.65034;-38.13080360867914
1739209878.6503463;-38.13080360867914
1739209878.6503527;-33.981070128970906
1739209878.650359;-38.13080360867914
1739209878.650365;-45.120503652039325
1739209878.6503716;-38.13080360867914
1739209878.6503778;-38.13080360867914
1739209878.650384;-33.981070128970956
1739209878.6503904;-45.120503652039325
1739209878.6503966;-35.57807855764607
1739209878.6504028;-38.13080360867914
1739209878.6504092;-45.120503652039325
1739209878.6504154;-38.13080360867914
1739209878.6504216;-38.13080360867914
1739209878.650428;-45.120503652039325
1739209878.6504343;-35.57807855764607
1739209878.6504405;-35.57807855764607
1739209878.6504467;-38.13080360867914
1739209878.650453;-45.120503652039325
1739209878.6504593;-38.13080360867914
1739209878.6504655;-45.120503652039325
1739209878.650472;-45.120503652039325
1739209878.6504781;-45.120503652039325
1739209878.6504843;-45.120503652039325
1739209878.6504908;-45.120503652039325
1739209878.650497;-45.120503652039325
1739209878.6505032;-38.13080360867914
1739209878.6505096;-45.120503652039325
1739209878.6505158;-45.120503652039325
1739209878.650522;-45.120503652039325
1739209878.6505284;-45.120503652039325
1739209878.6505346;-45.120503652039325
1739209878.6505408;-38.13080360867914
1739209878.650547;-45.120503652039325
1739209878.6505535;-45.120503652039325
1739209878.6505597;-45.120503652039325
1739209878.6505659;-38.13080360867914
1739209878.6505723;-38.13080360867914
1739209878.6505785;-38.13080360867914
1739209878.6505847;-29.438486411369333
1739209878.6505911;-38.13080360867914
1739209878.6505973;-35.57807855764607
1739209878.6506035;-38.13080360867914
1739209878.65061;-45.120503652039325
1739209878.6506162;-38.13080360867914
1739209878.6506224;-32.816014438256545
1739209878.6506288;-33.981070128970906
1739209878.650635;-35.57807855764607
1739209878.6506412;-45.120503652039325
1739209878.6506476;-38.13080360867914
1739209878.6506538;-38.13080360867914
1739209878.65066;-45.120503652039325
1739209878.6506662;-45.120503652039325
1739209878.6506727;-45.120503652039325
1739209878.6506789;-45.120503652039325
1739209878.650685;-32.816014438256545
1739209878.6506915;-35.57807855764607
1739209878.6506977;-45.120503652039325
1739209878.650704;-38.13080360867914
1739209878.6507103;-33.981070128970906
1739209878.6507165;-45.120503652039325
1739209878.6507227;-45.120503652039325
1739209878.6507292;-38.13080360867914
1739209878.6507354;-38.13080360867914
1739209878.6507416;-45.120503652039325
1739209878.650748;-45.120503652039325
1739209878.6507542;-38.13080360867914
1739209878.6507604;-38.13080360867914
1739209878.6507666;-38.13080360867914
1739209878.650773;-45.120503652039325
1739209878.6507792;-38.13080360867914
1739209878.6507854;-35.57807855764607
1739209878.650792;-38.13080360867914
1739209878.650798;-35.57807855764607
1739209878.6508043;-35.57807855764607
1739209878.6508107;-45.120503652039325
1739209878.650817;-45.120503652039325
1739209878.650823;-38.13080360867914
1739209878.6508296;-38.13080360867914
1739209878.6508358;-38.13080360867914
1739209878.650842;-35.57807855764607
1739209878.6508484;-38.13080360867914
1739209878.6508546;-45.120503652039325
1739209878.6508608;-45.120503652039325
1739209878.6508672;-38.13080360867914
1739209878.6508734;-45.120503652039325
1739209878.6508796;-38.13080360867914
1739209878.6508858;-45.120503652039325
1739209878.6508923;-45.120503652039325
