CAN Message; 0x62:028f41ef63e1bf48
Timestamp;Amplitude
1739209661.8920646;-45.120503652039325
1739209661.8920763;-38.13080360867914
1739209661.892088;-45.120503652039325
1739209661.8920996;-45.120503652039325
1739209661.8921113;-45.120503652039325
1739209661.892123;-45.120503652039325
1739209661.892135;-38.13080360867914
1739209661.8921466;-45.120503652039325
1739209661.8921583;-38.13080360867914
1739209661.89217;-45.120503652039325
1739209661.8921816;-45.120503652039325
1739209661.8921933;-45.120503652039325
1739209661.892205;-31.141103565318893
1739209661.8922167;-29.438486411369333
1739209661.8922284;-45.120503652039325
1739209661.89224;-45.120503652039325
1739209661.8922517;-45.120503652039325
1739209661.8922634;-32.816014438256545
1739209661.892275;-45.120503652039325
1739209661.8922868;-45.120503652039325
1739209661.8922987;-45.120503652039325
1739209661.8923104;-45.120503652039325
1739209661.892322;-38.13080360867914
1739209661.8923337;-38.13080360867914
1739209661.8923454;-45.120503652039325
1739209661.892357;-45.120503652039325
1739209661.8923688;-38.13080360867914
1739209661.8923805;-38.13080360867914
1739209661.8923922;-38.13080360867914
1739209661.8924038;-45.120503652039325
1739209661.8924155;-45.120503652039325
1739209661.8924272;-45.120503652039325
1739209661.892439;-45.120503652039325
1739209661.8924508;-38.13080360867914
1739209661.8924625;-38.13080360867914
1739209661.8924742;-45.120503652039325
1739209661.8924859;-38.13080360867914
1739209661.8924975;-31.141103565318893
1739209661.8925092;-38.13080360867914
1739209661.892521;-35.57807855764607
1739209661.8925326;-31.141103565318915
1739209661.8925443;-35.57807855764607
1739209661.892556;-45.120503652039325
1739209661.8925676;-33.981070128970906
1739209661.8925793;-45.120503652039325
1739209661.892591;-31.141103565318943
1739209661.8926027;-38.13080360867914
1739209661.8926146;-35.57807855764607
1739209661.8926263;-45.120503652039325
1739209661.892638;-45.120503652039325
1739209661.8926497;-35.57807855764607
1739209661.8926613;-45.120503652039325
1739209661.892673;-45.120503652039325
1739209661.8926847;-28.992665084841942
1739209661.8926964;-32.816014438256545
1739209661.892708;-35.57807855764607
1739209661.8927197;-38.13080360867914
1739209661.8927314;-38.13080360867914
1739209661.892743;-38.13080360867914
1739209661.8927548;-38.13080360867914
1739209661.8927667;-38.13080360867914
1739209661.8927784;-33.981070128970956
1739209661.89279;-38.13080360867914
1739209661.8928018;-32.816014438256545
1739209661.8928134;-45.120503652039325
1739209661.8928251;-45.120503652039325
1739209661.8928368;-38.13080360867914
1739209661.8928485;-35.57807855764607
1739209661.8928602;-45.120503652039325
