CAN Message; 0x150:0200e0e349da93dc
Timestamp;Amplitude
1739209793.6203725;-45.120503652039325
1739209793.6203778;-38.13080360867914
1739209793.620383;-45.120503652039325
1739209793.6203883;-38.13080360867914
1739209793.6203935;-38.13080360867914
1739209793.6203988;-38.13080360867914
1739209793.620404;-38.13080360867914
1739209793.6204093;-38.13080360867914
1739209793.6204145;-38.13080360867914
1739209793.62042;-38.13080360867914
1739209793.6204252;-35.57807855764607
1739209793.6204305;-45.120503652039325
1739209793.6204357;-33.981070128970906
1739209793.620441;-38.13080360867914
1739209793.6204462;-45.120503652039325
1739209793.6204515;-38.13080360867914
1739209793.6204567;-38.13080360867914
1739209793.620462;-45.120503652039325
1739209793.6204672;-45.120503652039325
1739209793.6204724;-38.13080360867914
1739209793.6204777;-38.13080360867914
1739209793.620483;-45.120503652039325
1739209793.6204882;-38.13080360867914
1739209793.6204934;-45.120503652039325
1739209793.6204987;-38.13080360867914
1739209793.620504;-38.13080360867914
1739209793.6205091;-38.13080360867914
1739209793.6205146;-38.13080360867914
1739209793.6205199;-38.13080360867914
1739209793.6205251;-32.816014438256545
1739209793.6205304;-38.13080360867914
1739209793.6205356;-38.13080360867914
1739209793.6205409;-33.981070128970906
1739209793.620546;-45.120503652039325
1739209793.6205513;-45.120503652039325
1739209793.6205566;-45.120503652039325
1739209793.6205618;-45.120503652039325
1739209793.620567;-45.120503652039325
1739209793.6205723;-45.120503652039325
1739209793.6205776;-38.13080360867914
1739209793.6205828;-45.120503652039325
1739209793.620588;-38.13080360867914
1739209793.6205933;-33.981070128970906
1739209793.6205986;-45.120503652039325
1739209793.6206038;-45.120503652039325
1739209793.6206093;-38.13080360867914
1739209793.6206145;-38.13080360867914
1739209793.6206198;-38.13080360867914
1739209793.620625;-38.13080360867914
1739209793.6206303;-45.120503652039325
1739209793.6206355;-45.120503652039325
1739209793.6206408;-45.120503652039325
1739209793.620646;-45.120503652039325
1739209793.6206512;-45.120503652039325
1739209793.6206565;-45.120503652039325
1739209793.6206617;-38.13080360867914
1739209793.620667;-38.13080360867914
1739209793.6206722;-35.57807855764607
1739209793.6206775;-35.57807855764607
1739209793.6206827;-45.120503652039325
1739209793.620688;-38.13080360867914
1739209793.6206932;-38.13080360867914
1739209793.6206985;-35.57807855764607
1739209793.6207037;-45.120503652039325
1739209793.6207092;-45.120503652039325
1739209793.6207144;-45.120503652039325
1739209793.6207197;-45.120503652039325
