CAN Message; 0x150:0400078cbc65d8b4
Timestamp;Amplitude
1739209641.4338853;-31.141103565318915
1739209641.4338927;-38.13080360867914
1739209641.4339004;-38.13080360867914
1739209641.4339077;-32.816014438256545
1739209641.4339151;-38.13080360867914
1739209641.4339225;-45.120503652039325
1739209641.43393;-45.120503652039325
1739209641.4339373;-35.57807855764607
1739209641.433945;-31.141103565318915
1739209641.4339523;-38.13080360867914
1739209641.4339597;-45.120503652039325
1739209641.433967;-35.57807855764607
1739209641.4339745;-45.120503652039325
1739209641.433982;-45.120503652039325
1739209641.4339895;-45.120503652039325
1739209641.433997;-38.13080360867914
1739209641.4340043;-30.49652367304973
1739209641.4340117;-33.981070128970906
1739209641.434019;-38.13080360867914
1739209641.4340267;-35.57807855764607
1739209641.434034;-33.981070128970906
1739209641.4340415;-45.120503652039325
1739209641.434049;-38.13080360867914
1739209641.4340563;-35.57807855764607
1739209641.4340637;-35.57807855764607
1739209641.4340713;-45.120503652039325
1739209641.4340787;-45.120503652039325
1739209641.434086;-38.13080360867914
1739209641.4340935;-45.120503652039325
1739209641.4341009;-45.120503652039325
1739209641.4341083;-33.981070128970906
1739209641.434116;-33.981070128970906
1739209641.4341233;-38.13080360867914
1739209641.4341307;-45.120503652039325
1739209641.434138;-45.120503652039325
1739209641.4341455;-35.57807855764607
1739209641.434153;-35.57807855764607
1739209641.4341605;-45.120503652039325
1739209641.4341679;-38.13080360867914
1739209641.4341753;-38.13080360867914
1739209641.4341826;-38.13080360867914
1739209641.43419;-45.120503652039325
1739209641.4341977;-38.13080360867914
1739209641.434205;-38.13080360867914
1739209641.4342124;-38.13080360867914
1739209641.4342198;-35.57807855764607
1739209641.4342272;-38.13080360867914
1739209641.4342346;-38.13080360867914
1739209641.4342422;-35.57807855764607
1739209641.4342496;-45.120503652039325
1739209641.434257;-45.120503652039325
1739209641.4342644;-45.120503652039325
1739209641.4342718;-45.120503652039325
1739209641.4342792;-45.120503652039325
1739209641.4342868;-38.13080360867914
1739209641.4342942;-38.13080360867914
1739209641.4343016;-45.120503652039325
1739209641.434309;-45.120503652039325
