CAN Message; 0x150:04008a6e797ebd91
Timestamp;Amplitude
1739209704.3418934;-32.816014438256545
1739209704.341897;-45.120503652039325
1739209704.3419008;-38.13080360867914
1739209704.3419044;-35.57807855764607
1739209704.341908;-45.120503652039325
1739209704.3419118;-45.120503652039325
1739209704.3419154;-35.57807855764607
1739209704.3419192;-28.58837851428586
1739209704.3419228;-45.120503652039325
1739209704.3419263;-38.13080360867914
1739209704.3419302;-38.13080360867914
1739209704.3419337;-32.816014438256545
1739209704.3419373;-45.120503652039325
1739209704.341941;-38.13080360867914
1739209704.3419447;-45.120503652039325
1739209704.3419483;-31.141103565318943
1739209704.341952;-38.13080360867914
1739209704.3419557;-35.57807855764607
1739209704.3419592;-45.120503652039325
1739209704.341963;-45.120503652039325
1739209704.3419666;-35.57807855764607
1739209704.3419702;-38.13080360867914
1739209704.341974;-38.13080360867914
1739209704.3419776;-38.13080360867914
1739209704.3419814;-38.13080360867914
1739209704.341985;-38.13080360867914
1739209704.3419886;-45.120503652039325
1739209704.3419924;-38.13080360867914
1739209704.341996;-45.120503652039325
1739209704.3419995;-45.120503652039325
1739209704.3420033;-35.57807855764607
1739209704.342007;-31.141103565318915
1739209704.3420105;-45.120503652039325
1739209704.3420143;-45.120503652039325
1739209704.342018;-35.57807855764607
1739209704.3420215;-38.13080360867914
1739209704.3420253;-38.13080360867914
1739209704.3420289;-38.13080360867914
1739209704.3420327;-45.120503652039325
1739209704.3420362;-38.13080360867914
1739209704.3420398;-45.120503652039325
1739209704.3420436;-45.120503652039325
1739209704.3420472;-45.120503652039325
1739209704.3420508;-45.120503652039325
1739209704.3420546;-45.120503652039325
1739209704.3420582;-45.120503652039325
1739209704.3420618;-38.13080360867914
1739209704.3420656;-27.267205301931607
1739209704.3420691;-33.981070128970906
1739209704.3420727;-38.13080360867914
1739209704.3420765;-38.13080360867914
1739209704.34208;-38.13080360867914
1739209704.3420837;-38.13080360867914
1739209704.3420875;-45.120503652039325
1739209704.342091;-38.13080360867914
1739209704.342095;-31.14110356531892
1739209704.3420985;-38.13080360867914
1739209704.342102;-38.13080360867914
1739209704.3421059;-45.120503652039325
1739209704.3421094;-45.120503652039325
1739209704.342113;-35.57807855764607
1739209704.3421168;-32.816014438256545
1739209704.3421204;-45.120503652039325
1739209704.342124;-31.141103565318915
1739209704.3421278;-33.981070128970906
1739209704.3421314;-38.13080360867914
1739209704.342135;-38.13080360867914
1739209704.3421388;-45.120503652039325
1739209704.3421423;-45.120503652039325
1739209704.3421462;-45.120503652039325
1739209704.3421497;-45.120503652039325
1739209704.3421533;-38.13080360867914
1739209704.3421571;-45.120503652039325
1739209704.3421607;-38.13080360867914
1739209704.3421643;-38.13080360867914
1739209704.342168;-38.13080360867914
1739209704.3421717;-45.120503652039325
1739209704.3421752;-45.120503652039325
1739209704.342179;-38.13080360867914
1739209704.3421826;-38.13080360867914
1739209704.3421862;-45.120503652039325
1739209704.34219;-45.120503652039325
1739209704.3421936;-38.13080360867914
1739209704.3421972;-38.13080360867914
1739209704.342201;-45.120503652039325
1739209704.3422046;-45.120503652039325
1739209704.3422084;-30.49652367304973
1739209704.342212;-31.141103565318915
1739209704.3422155;-38.13080360867914
1739209704.3422194;-45.120503652039325
1739209704.342223;-45.120503652039325
1739209704.3422265;-45.120503652039325
1739209704.3422303;-32.816014438256545
1739209704.342234;-38.13080360867914
1739209704.3422375;-35.57807855764607
1739209704.3422413;-35.57807855764607
1739209704.3422449;-45.120503652039325
1739209704.3422484;-45.120503652039325
1739209704.3422523;-45.120503652039325
1739209704.3422558;-45.120503652039325
1739209704.3422594;-35.57807855764607
1739209704.3422632;-38.13080360867914
1739209704.3422668;-45.120503652039325
1739209704.3422706;-45.120503652039325
