CAN Message; 0x39:0ee0542c812d68fa
Timestamp;Amplitude
1739209886.3587072;-38.13080360867914
1739209886.3587127;-45.120503652039325
1739209886.358718;-33.981070128970906
1739209886.3587234;-45.120503652039325
1739209886.358729;-45.120503652039325
1739209886.3587344;-38.13080360867914
1739209886.3587399;-38.13080360867914
1739209886.3587453;-38.13080360867914
1739209886.3587506;-38.13080360867914
1739209886.358756;-38.13080360867914
1739209886.3587615;-38.13080360867914
1739209886.358767;-38.13080360867914
1739209886.3587725;-33.981070128970906
1739209886.3587778;-32.816014438256545
1739209886.3587832;-45.120503652039325
1739209886.3587887;-38.13080360867914
1739209886.3587942;-38.13080360867914
1739209886.3587997;-45.120503652039325
1739209886.3588052;-38.13080360867914
1739209886.3588104;-45.120503652039325
1739209886.358816;-45.120503652039325
1739209886.3588214;-38.13080360867914
1739209886.3588269;-38.13080360867914
1739209886.3588324;-45.120503652039325
1739209886.3588376;-45.120503652039325
1739209886.358843;-33.981070128970906
1739209886.3588486;-32.816014438256545
1739209886.358854;-45.120503652039325
1739209886.3588595;-38.13080360867914
1739209886.358865;-38.13080360867914
1739209886.3588703;-38.13080360867914
1739209886.3588758;-45.120503652039325
1739209886.3588812;-45.120503652039325
1739209886.3588867;-38.13080360867914
1739209886.3588922;-31.141103565318915
1739209886.3588974;-38.13080360867914
1739209886.358903;-38.13080360867914
1739209886.3589084;-45.120503652039325
1739209886.358914;-38.13080360867914
1739209886.3589194;-45.120503652039325
1739209886.3589249;-45.120503652039325
1739209886.35893;-45.120503652039325
1739209886.3589356;-32.81601443825658
1739209886.358941;-45.120503652039325
1739209886.3589466;-33.981070128970906
1739209886.358952;-45.120503652039325
1739209886.3589573;-45.120503652039325
1739209886.3589628;-38.13080360867914
1739209886.3589683;-38.13080360867914
1739209886.3589737;-45.120503652039325
1739209886.3589792;-28.992665084841942
1739209886.3589847;-29.438486411369333
1739209886.35899;-38.13080360867914
1739209886.3589954;-45.120503652039325
1739209886.359001;-38.13080360867914
1739209886.3590064;-35.57807855764607
1739209886.359012;-45.120503652039325
1739209886.3590171;-45.120503652039325
1739209886.3590226;-45.120503652039325
1739209886.359028;-45.120503652039325
1739209886.3590336;-45.120503652039325
1739209886.359039;-45.120503652039325
1739209886.3590446;-45.120503652039325
1739209886.3590498;-45.120503652039325
1739209886.3590553;-38.13080360867914
1739209886.3590608;-32.816014438256545
1739209886.3590662;-38.13080360867914
1739209886.3590717;-45.120503652039325
1739209886.359077;-45.120503652039325
1739209886.3590825;-45.120503652039325
1739209886.359088;-45.120503652039325
1739209886.3590934;-38.13080360867914
1739209886.359099;-38.13080360867914
1739209886.3591044;-45.120503652039325
1739209886.3591096;-31.141103565318915
1739209886.3591151;-32.816014438256545
1739209886.3591206;-45.120503652039325
1739209886.359126;-45.120503652039325
1739209886.3591316;-33.981070128970906
1739209886.3591368;-45.120503652039325
1739209886.3591423;-38.13080360867914
