CAN Message; 0x39:075c0b887b43e33e
Timestamp;Amplitude
1739209803.6667256;-38.13080360867914
1739209803.6667595;-38.13080360867914
1739209803.6667936;-33.981070128970906
1739209803.6668274;-33.981070128970906
1739209803.6668613;-38.13080360867914
1739209803.6668952;-45.120503652039325
1739209803.666929;-38.13080360867914
1739209803.6669629;-38.13080360867914
1739209803.666997;-45.120503652039325
1739209803.6670308;-45.120503652039325
1739209803.6670647;-45.120503652039325
1739209803.6670985;-38.13080360867914
1739209803.6671324;-45.120503652039325
1739209803.6671662;-45.120503652039325
1739209803.6672003;-45.120503652039325
1739209803.6672342;-38.13080360867914
1739209803.667268;-38.13080360867914
1739209803.667302;-38.13080360867914
1739209803.6673357;-45.120503652039325
1739209803.6673696;-31.141103565318915
1739209803.6674037;-28.992665084841942
1739209803.6674376;-45.120503652039325
1739209803.6674714;-45.120503652039325
1739209803.6675053;-38.13080360867914
1739209803.6675391;-38.13080360867914
1739209803.667573;-45.120503652039325
1739209803.667607;-45.120503652039325
1739209803.667641;-45.120503652039325
1739209803.6676748;-38.13080360867914
1739209803.6677086;-33.981070128970906
1739209803.6677425;-45.120503652039325
1739209803.6677763;-45.120503652039325
1739209803.6678104;-32.816014438256545
1739209803.6678443;-38.13080360867914
1739209803.6678782;-45.120503652039325
1739209803.667912;-33.981070128970906
1739209803.6679459;-31.141103565318915
1739209803.6679797;-38.13080360867914
1739209803.6680138;-45.120503652039325
1739209803.6680477;-38.13080360867914
1739209803.6680815;-45.120503652039325
1739209803.6681154;-38.13080360867914
1739209803.6681492;-35.57807855764607
1739209803.668183;-35.57807855764607
1739209803.6682172;-45.120503652039325
1739209803.668251;-45.120503652039325
1739209803.668285;-38.13080360867914
1739209803.6683187;-35.57807855764607
1739209803.6683526;-35.57807855764607
1739209803.6683865;-38.13080360867914
1739209803.6684206;-38.13080360867914
1739209803.6684544;-45.120503652039325
1739209803.6684883;-45.120503652039325
1739209803.6685221;-38.13080360867914
1739209803.668556;-31.141103565318915
1739209803.6685898;-38.13080360867914
1739209803.668624;-45.120503652039325
1739209803.6686578;-38.13080360867914
1739209803.6686916;-32.816014438256545
1739209803.6687255;-38.13080360867914
1739209803.6687593;-33.981070128970906
1739209803.6687932;-45.120503652039325
1739209803.6688273;-38.13080360867914
1739209803.6688612;-35.57807855764607
1739209803.668895;-38.13080360867914
1739209803.6689289;-45.120503652039325
1739209803.6689627;-38.13080360867914
1739209803.6689966;-38.13080360867914
1739209803.6690307;-45.120503652039325
1739209803.6690645;-45.120503652039325
1739209803.6690984;-35.57807855764607
1739209803.6691322;-38.13080360867914
1739209803.669166;-45.120503652039325
1739209803.6692;-45.120503652039325
1739209803.669234;-38.13080360867914
1739209803.669268;-35.57807855764607
1739209803.6693017;-32.816014438256545
1739209803.6693356;-45.120503652039325
1739209803.6693695;-31.141103565318893
1739209803.6694033;-38.13080360867914
1739209803.6694374;-38.13080360867914
1739209803.6694713;-45.120503652039325
1739209803.6695051;-35.57807855764607
1739209803.669539;-38.13080360867914
1739209803.6695728;-38.13080360867914
1739209803.6696067;-35.57807855764607
1739209803.6696408;-38.13080360867914
1739209803.6696746;-38.13080360867914
1739209803.6697085;-38.13080360867914
1739209803.6697423;-38.13080360867914
1739209803.6697762;-45.120503652039325
1739209803.66981;-45.120503652039325
1739209803.6698442;-38.13080360867914
1739209803.669878;-38.13080360867914
1739209803.6699119;-45.120503652039325
1739209803.6699457;-45.120503652039325
1739209803.6699796;-45.120503652039325
1739209803.6700134;-33.981070128970906
1739209803.6700475;-45.120503652039325
1739209803.6700814;-38.13080360867914
1739209803.6701152;-38.13080360867914
1739209803.670149;-38.13080360867914
1739209803.670183;-45.120503652039325
1739209803.6702168;-38.13080360867914
1739209803.670251;-35.57807855764607
1739209803.6702847;-38.13080360867914
1739209803.6703186;-45.120503652039325
1739209803.6703525;-38.13080360867914
1739209803.6703863;-35.57807855764607
1739209803.6704202;-31.141103565318915
1739209803.6704543;-45.120503652039325
1739209803.670488;-38.13080360867914
1739209803.670522;-45.120503652039325
1739209803.6705558;-38.13080360867914
1739209803.6705897;-45.120503652039325
1739209803.6706235;-45.120503652039325
1739209803.6706576;-45.120503652039325
1739209803.6706915;-32.81601443825658
1739209803.6707253;-38.13080360867914
1739209803.6707592;-38.13080360867914
1739209803.670793;-38.13080360867914
1739209803.670827;-33.981070128970956
1739209803.670861;-23.506823629689542
1739209803.6708949;-22.002965041481755
1739209803.6709287;-25.826314394896357
1739209803.6709626;-28.58837851428586
1739209803.6709964;-31.141103565318915
1739209803.6710303;-32.816014438256545
1739209803.6710644;-29.438486411369333
